q10,q11,q12,q13,q15,q16,q17,q18,q19,q20,q20b,q22,q24,q31,q112b_fi,q116,q122,q122a,q122b,q125,q139,q142,gender,msa,region,allwt,job,census,state,q3a,cmb1
Wrong track,Somewhat better,Somewhat good time,Somewhat good time,Prices will go up, ,3,Prices will go up, ,7,Rates will go up,Very difficult,Live with someone else and don't pay for housing,Rent,Somewhat concerned,About the same vs. twelve months ago,40-44,40,40-44,Single,"Asian (DO NOT READ: includes Chinese, Japanese, Korean, Vietnamese, Thai, Indian, Pakistani, etc.)","$35,000-$49,999",Female, , ,1.05576776436693,Jun-2022 (26724),Division 5,Georgia,Georgia,General Population
Wrong track,Much worse,Very bad time,Very bad time,Prices will remain about the same, , ,Prices will go up, ,5,Rates will go up,Very easy,Own your home outright and do not have any debt on it,Buy,Not at all concerned,About the same vs. twelve months ago,60-64,60,60-64,Married or have an unmarried partner,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$50,000-$74,999",Female, , ,.492840975789978,Jun-2022 (26724),Division 5,Georgia,Georgia,General Population
Wrong track,Stay about the same,Somewhat bad time,Somewhat good time,Prices will remain about the same, , ,Prices will go up, ,25,Rates will remain about the same,Very easy,"Have a mortgage on your home, such as a first mortgage, second mortgage or Home Equity Line of Credit or HELOC",Buy, ,About the same vs. twelve months ago,65-69,67,65-69,Married or have an unmarried partner,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$50,000-$74,999",Female, , ,1.51449687965575,Jun-2022 (26724),Division 5,Georgia,Georgia,General Population
Right track,Much better,Very bad time,Very good time,Prices will go down, , ,Prices will go up, ,10,Rates will go up,Very easy,Own your home outright and do not have any debt on it,Buy, ,Significantly higher now,30-34,32,30-34,Married or have an unmarried partner,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$150,000-$199,999",Female, , ,1.38771597831458,Jun-2022 (26724),Division 5,Georgia,Georgia,General Population
Wrong track,Much worse,Very bad time,Somewhat good time,Prices will go up, ,10,Prices will go up, ,20,Rates will go up,Very difficult,Own your home outright and do not have any debt on it,Rent, ,Significantly higher now,75+,84,75+,Divorced,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$10,000-$14,999",Female, , ,.645873901069465,Jun-2022 (26724),Division 5,Georgia,Georgia,General Population
Wrong track,Much worse,Very bad time,Somewhat bad time,Prices will go down,5, ,Prices will go down,10, ,Rates will go up,Don't know VOL,Own your home outright and do not have any debt on it,Buy, ,Significantly higher now,65-69,66,65-69,Married or have an unmarried partner,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$75,000-$99,999",Male, , ,.192174115332055,Jun-2022 (26724),Division 5,Georgia,Georgia,General Population
Wrong track,Stay about the same,Very bad time,Very good time,Prices will remain about the same, , ,Prices will remain about the same, , ,Rates will go up,Very easy,"Have a mortgage on your home, such as a first mortgage, second mortgage or Home Equity Line of Credit or HELOC",Buy,Not at all concerned,About the same vs. twelve months ago,50-54,51,50-54,Don't know VOL,Black / African-American,Don't know VOL,Male, , ,.454050355273063,Jun-2022 (26724),Division 5,Georgia,Georgia,General Population
Wrong track,Somewhat worse,Very bad time,Very good time,Prices will go up, ,6,Don't know VOL, , ,Rates will go up,Very difficult,"Have a mortgage on your home, such as a first mortgage, second mortgage or Home Equity Line of Credit or HELOC",Buy, ,About the same vs. twelve months ago,75+,77,75+,Married or have an unmarried partner,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$50,000-$74,999",Male, , ,.891885761712652,Jun-2022 (26724),Division 5,Georgia,Georgia,General Population
Wrong track,Somewhat better,Very bad time,Somewhat good time,Prices will go up, , ,Prices will go up, ,10,Rates will go up,Somewhat difficult,Rent,Buy,Not at all concerned,Significantly lower now,25-29,29,25-29,Married or have an unmarried partner,Black / African-American,"Less than $10,000",Male, , ,1.78567471017549,Jun-2022 (26724),Division 5,Georgia,Georgia,General Population
Wrong track,Somewhat better,Very bad time,Somewhat good time,Prices will go up, ,15,Prices will go up, ,5,Rates will go up,Somewhat difficult,Rent,Buy,Not at all concerned,About the same vs. twelve months ago,40-44,43,40-44,Single,Black / African-American,"$15,000-$24,999",Male, , ,1.74198225955937,Jun-2022 (26724),Division 5,Georgia,Georgia,General Population
Wrong track,Much worse,Somewhat good time,Very bad time,Prices will go down, , ,Prices will go up, , ,Rates will go down,Somewhat easy,Live with someone else and don't pay for housing,Buy,Not at all concerned,Significantly higher now,21-24,22,21-24,Married or have an unmarried partner,"Hispanic / Latino (DO NOT READ: Mexican, Brazilian, etc.)","$100,000-$149,999",Male, , ,.3124850077248,Jun-2022 (26724),Division 5,Georgia,Georgia,General Population
Wrong track,Stay about the same,Very bad time,Very good time,Prices will go up, ,5,Prices will go up, ,10,Rates will go up,Very easy,Own your home outright and do not have any debt on it,Buy,Not at all concerned,About the same vs. twelve months ago,60-64,61,60-64,Married or have an unmarried partner,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$100,000-$149,999",Male, , ,2.06277426021065,Jun-2022 (26724),Division 5,Georgia,Georgia,General Population
Wrong track,Don't know VOL,Very bad time,Somewhat good time,Prices will go up, ,5,Prices will go up, ,10,Rates will go up,Somewhat easy,Own your home outright and do not have any debt on it,Buy,Not at all concerned,About the same vs. twelve months ago,60-64,60,60-64,Single,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)",Don't know VOL,Female, , ,.31921926526214,Jun-2022 (26724),Division 5,Georgia,Georgia,General Population
Wrong track,Somewhat better,Very good time,Very good time,Prices will go up, ,6,Prices will go up, ,8,Rates will go up,Very easy,"Have a mortgage on your home, such as a first mortgage, second mortgage or Home Equity Line of Credit or HELOC",Buy,Not at all concerned,Significantly higher now,45-49,48,45-49,Divorced,Black / African-American,"$50,000-$74,999",Male, , ,2.26057807333476,Jun-2022 (26724),Division 5,Georgia,Georgia,General Population
Wrong track,Don't know VOL,Very bad time,Somewhat bad time,Prices will go up, , ,Prices will go up, ,4,Rates will go up,Very difficult,Live with someone else and don't pay for housing,Buy,Not at all concerned,Significantly lower now,30-34,32,30-34,Single,Black / African-American,"$75,000-$99,999",Male, , ,.63098687872486,Jun-2022 (26724),Division 5,Georgia,Georgia,General Population
Wrong track,Don't know VOL,Somewhat bad time,Somewhat good time,Prices will go up, ,10,Prices will go up, ,10,Rates will go up,Somewhat difficult,"Have a mortgage on your home, such as a first mortgage, second mortgage or Home Equity Line of Credit or HELOC",Buy,Somewhat concerned,About the same vs. twelve months ago,25-29,28,25-29,Divorced,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$50,000-$74,999",Female, , ,2.25269612238434,Jun-2022 (26724),Division 5,Florida,Florida,General Population
Wrong track,Stay about the same,Somewhat bad time,Very good time,Prices will go down,20, ,Prices will go up, ,10,Rates will go up,Very easy,"Have a mortgage on your home, such as a first mortgage, second mortgage or Home Equity Line of Credit or HELOC",Buy,Not at all concerned,About the same vs. twelve months ago,45-49,46,45-49,Single,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$100,000-$149,999",Male, , ,1.69234011685557,Jun-2022 (26724),Division 5,Florida,Florida,General Population
Wrong track,Much worse,Very bad time,Very good time,Prices will go down,10, ,Prices will go up, ,15,Rates will go up,Somewhat easy,Own your home outright and do not have any debt on it,Buy, ,About the same vs. twelve months ago,50-54,50,50-54,Married or have an unmarried partner,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)",Don't know VOL,Female, , ,.350984967705449,Jun-2022 (26724),Division 5,Florida,Florida,General Population
Wrong track,Much worse,Very bad time,Very bad time,Prices will go up, , ,Prices will go up, , ,Rates will go down,Very difficult,Rent,Buy,Don't know VOL,Don't know VOL,50-54,52,50-54,Don't know VOL,Don't know VOL,"$50,000-$74,999",Male, , ,.0834894403560029,Jun-2022 (26724),Division 5,Florida,Florida,General Population
Wrong track,Stay about the same,Somewhat bad time,Somewhat good time,Prices will remain about the same, , ,Prices will go up, ,5,Rates will remain about the same,Very easy,Own your home outright and do not have any debt on it,Buy, ,About the same vs. twelve months ago,75+,84,75+,Married or have an unmarried partner,Black / African-American,Don't know VOL,Female, , ,.668556306816217,Jun-2022 (26724),Division 5,Florida,Florida,General Population
Wrong track,Much worse,Very good time,Very bad time,Prices will go down, , ,Prices will go up, ,30,Rates will go up,Somewhat easy,"Have a mortgage on your home, such as a first mortgage, second mortgage or Home Equity Line of Credit or HELOC",Buy,Somewhat concerned,About the same vs. twelve months ago,35-39,38,35-39,Married or have an unmarried partner,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$25,000-$34,999",Female, , ,1.7420617840048,Jun-2022 (26724),Division 5,Florida,Florida,General Population
Wrong track,Somewhat worse,Somewhat bad time,Somewhat bad time,Prices will go up, ,7,Prices will go up, ,10,Rates will go up,Very easy,"Have a mortgage on your home, such as a first mortgage, second mortgage or Home Equity Line of Credit or HELOC",Buy, ,About the same vs. twelve months ago,70-74,72,70-74,Married or have an unmarried partner,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$200,000+",Male, , ,.529501930014834,Jun-2022 (26724),Division 5,Florida,Florida,General Population
Right track,Stay about the same,Somewhat good time,Very good time,Prices will remain about the same, , ,Prices will go down,15, ,Rates will go up,Somewhat difficult,Own your home outright and do not have any debt on it,Rent, ,About the same vs. twelve months ago,65-69,67,65-69,Married or have an unmarried partner,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$50,000-$74,999",Female, , ,.667855592463709,Jun-2022 (26724),Division 5,Florida,Florida,General Population
Wrong track,Much better,Somewhat good time,Somewhat bad time,Prices will go down,10, ,Prices will go down,20, ,Rates will go up,Somewhat easy,Rent,Buy,Not at all concerned,About the same vs. twelve months ago,45-49,49,45-49,Married or have an unmarried partner,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$50,000-$74,999",Male, , ,.965845330718487,Jun-2022 (26724),Division 5,Florida,Florida,General Population
Wrong track,Somewhat worse,Very bad time,Very good time,Prices will go down,10, ,Prices will go down,10, ,Rates will go up,Somewhat easy,"Have a mortgage on your home, such as a first mortgage, second mortgage or Home Equity Line of Credit or HELOC",Buy,Not at all concerned,About the same vs. twelve months ago,45-49,46,45-49,Divorced,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$35,000-$49,999",Female, , ,.704231655455062,Jun-2022 (26724),Division 5,Florida,Florida,General Population
Wrong track,Stay about the same,Very good time,Very good time,Prices will go up, ,7,Prices will go up, ,8,Rates will go up,Very easy,Own your home outright and do not have any debt on it,Buy, ,About the same vs. twelve months ago,75+,83,75+,Married or have an unmarried partner,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$75,000-$99,999",Male, , ,.716528123271823,Jun-2022 (26724),Division 5,Florida,Florida,General Population
Wrong track,Somewhat better,Somewhat bad time,Somewhat good time,Prices will go up, ,10,Prices will go up, ,10,Rates will go up,Very difficult,Rent,Rent, ,Significantly higher now,60-64,63,60-64,Widowed,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$10,000-$14,999",Female, , ,.611514348481456,Jun-2022 (26724),Division 5,Florida,Florida,General Population
Don't know VOL,Stay about the same,Very bad time,Don't know VOL,Don't know VOL, , ,Don't know VOL, , ,Don't know VOL,Very easy,Own your home outright and do not have any debt on it,Don't know VOL, ,About the same vs. twelve months ago,75+,82,75+,Married or have an unmarried partner,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$150,000-$199,999",Male, , ,.374226549279634,Jun-2022 (26724),Division 5,Florida,Florida,General Population
Wrong track,Somewhat worse,Somewhat bad time,Very good time,Prices will go up, ,20,Prices will go up, ,20,Rates will go up,Somewhat difficult,Rent,Rent,Not very concerned,Significantly lower now,35-39,36,35-39,Divorced,Middle Eastern,"$35,000-$49,999",Male, , ,.83049070933329,Jun-2022 (26724),Division 5,Florida,Florida,General Population
Wrong track,Much worse,Very bad time,Don't know VOL,Prices will go up, ,34,Prices will go up, , ,Rates will go up,Very difficult,Rent,Rent,Not at all concerned,Significantly lower now,40-44,40,40-44,Single,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$35,000-$49,999",Female, , ,.414501817066709,Jun-2022 (26724),Division 5,Florida,Florida,General Population
